Stop ID,BUS Name,Stop Intersection,Latitude,Longitude
1002998,30S,25TH ST SE + #3417,38.847479,-76.969122
1002998,32,25TH ST SE + #3417,38.847479,-76.969122
1002998,32v1,25TH ST SE + #3417,38.847479,-76.969122
1002998,A32,25TH ST SE + #3417,38.847479,-76.969122
1002999,30S,25TH ST SE + SOUTHERN AVE,38.84598,-76.969831
1002999,32,25TH ST SE + SOUTHERN AVE,38.84598,-76.969831
1002999,32v1,25TH ST SE + SOUTHERN AVE,38.84598,-76.969831
1002999,A32,25TH ST SE + SOUTHERN AVE,38.84598,-76.969831
1003000,A2,CONDON TER SE + PEPCO POLE,38.8328,-76.998251
1003000,A2v1,CONDON TER SE + PEPCO POLE,38.8328,-76.998251
1003001,P6,M ST SW + HALF ST SW,38.876593,-77.010077
1003001,P6cv1,M ST SW + HALF ST SW,38.876593,-77.010077
1003001,V1,M ST SW + HALF ST SW,38.876593,-77.010077
1003001,W9v1,M ST SW + HALF ST SW,38.876593,-77.010077
1003003,D31,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003003,D33,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003003,D34,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003003,E4,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003003,E4c,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003003,W45,MILITARY RD NW + GLOVER RD,38.961658,-77.052189
1003004,E4,KENNEDY ST NW + COLORADO AVE NW,38.956294,-77.032963
1003004,E4v1,KENNEDY ST NW + COLORADO AVE NW,38.956294,-77.032963
1003005,E2,WEST VIRGINIA AVE NE + 17TH ST NE,38.916438,-76.978937
1003006,E2,18TH ST NE + BRYANT ST NE,38.921177,-76.978926
1003007,E2,18TH ST NE + HAMLIN ST NE,38.928477,-76.97918
1003008,W2,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2c,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2cv1,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2v1,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2v2,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2v3,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2v4,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W2v5,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W3,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003008,W3v1,AINGER PL SE + BRUCE PL SE,38.857835,-76.97305
1003011,94,STANTON RD SE + SUITLAND PKY SE,38.852744,-76.98268
1003011,W6,STANTON RD SE + SUITLAND PKY SE,38.852744,-76.98268
1003011,W6v1,STANTON RD SE + SUITLAND PKY SE,38.852744,-76.98268
1003014,A2,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A2cvS,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A2v1,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A4,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A4c,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A4cv2,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A4v1,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A6,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A7,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,A8,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2v1,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2v2,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2v3,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2v4,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W2v5,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W3,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003014,W3v1,MARTIN LUTHER KING JR AVE SE + EATON RD SE,38.858305,-76.995669
1003711,37,PENNSYLVANIA AVE + 21ST ST,38.901057,-77.046329
1003015,W2,CONGRESS ST SE + 13TH PL SE,38.842174,-76.987014
1003015,W2c,CONGRESS ST SE + 13TH PL SE,38.842174,-76.987014
1003015,W2v1,CONGRESS ST SE + 13TH PL SE,38.842174,-76.987014
