,mse,estimator,process_time,mae,r2_score,exp_var_score
0,6896.933755861816,SVR,1073.7413647174837,41.900333708305205,-0.04159799331067759,0.08684417542413225
0,6589.017922265691,HR,15.086282968521118,42.77408774982045,0.006631092023873561,0.0840646087077408
0,5861.333908136587,PAR,20.037473440170288,47.58827716936907,0.08117376527167908,0.11598481433767648
0,5995.3060028925,TSR,107.38250255584715,44.99045864875731,0.09247635688060307,0.10777613792624917
0,5815.633216284705,SGDR,33.235217094421394,47.33933186652048,0.09899134808705233,0.12281781214674548
0,5816.987002261993,LCV,20.41101408004761,47.61443895931199,0.10780770642968353,0.12237484909709505
0,5817.573334403213,RCV,9.229973316192627,47.61686357647819,0.10780871623372346,0.12228640987621595
0,5800.375083253981,ENCV,70.36578989028929,47.56037612826811,0.10842414016428124,0.12488054724364615
0,5637.368335493904,KNNR,592.4200460910797,46.39881233449478,0.1162507928947788,0.1496053028716814
0,5511.715773218521,GBR,87.77471876144409,46.18199118946161,0.12341382724130792,0.1685206434828378
0,5522.619737043397,RFR,119.39712023735045,47.20388747024335,0.1256580759030508,0.16812826230293365
0,5393.412104453635,ETR,42.079858064651496,45.75696108070113,0.13845111080351774,0.186279498624256
